[2026-08-05 00:24:54,996] 20 root - INFO - Initiate the data ingestion
[2026-08-05 00:24:57,641] 65 root - INFO - Performed train test split on the dataframe
[2026-08-05 00:24:57,641] 66 root - INFO - Exited data_split method of Data_Ingestion class
[2026-08-05 00:24:57,642] 74 root - INFO - Exporting train and test file path
[2026-08-05 00:24:57,688] 88 root - INFO - Exported train and test file path
[2026-08-05 00:24:57,689] 22 root - INFO - Data Initiation completed
[2026-08-05 00:24:57,702] 25 root - INFO - Initiate the data validation
[2026-08-05 00:24:57,723] 32 root - INFO - Required number of columns : 2
[2026-08-05 00:24:57,723] 33 root - INFO - Data frame has columns : 31
[2026-08-05 00:24:57,723] 32 root - INFO - Required number of columns : 2
[2026-08-05 00:24:57,724] 33 root - INFO - Data frame has columns : 31
[2026-08-05 00:24:57,725] 43 root - INFO - Required number of numerical columns : 31
[2026-08-05 00:24:57,726] 44 root - INFO - Data frame has numerical columns : 31
[2026-08-05 00:24:57,727] 43 root - INFO - Required number of numerical columns : 31
[2026-08-05 00:24:57,728] 44 root - INFO - Data frame has numerical columns : 31
[2026-08-05 00:24:57,865] 27 root - INFO - Data validation completed
[2026-08-05 00:24:57,866] 28 root - INFO - Data transformation started
[2026-08-05 00:24:57,866] 51 root - INFO - Initiated Data Transformation
[2026-08-05 00:24:57,887] 40 root - INFO - Entered get_data_transform_obj method
[2026-08-05 00:24:57,887] 43 root - INFO - Initialized the imputer with params : {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-08-05 00:24:57,914] 38 root - INFO - Entered the save_object method
[2026-08-05 00:24:57,916] 42 root - INFO - Exited the save_object method
[2026-08-05 00:24:57,916] 31 root - INFO - Data transformation completed
[2026-08-05 00:24:57,916] 32 root - INFO - Model training started
[2026-08-05 00:27:51,342] 38 root - INFO - Entered the save_object method
[2026-08-05 00:27:51,360] 42 root - INFO - Exited the save_object method
[2026-08-05 00:27:51,360] 109 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_05_2026_00_24_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917171717171717, precision_score=0.9887210473313193, recall_score=0.9947315096251267), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9744006501422187, precision_score=0.9677158999192897, recall_score=0.9811783960720131))
[2026-08-05 00:27:51,362] 35 root - INFO - Model Training artifact created
