[2026-07-27 01:02:05,869] 17 root - INFO - Initiate the data ingestion
[2026-07-27 01:02:12,659] 65 root - INFO - Performed train test split on the dataframe
[2026-07-27 01:02:12,660] 66 root - INFO - Exited data_split method of Data_Ingestion class
[2026-07-27 01:02:12,660] 74 root - INFO - Exporting train and test file path
[2026-07-27 01:02:12,709] 88 root - INFO - Exported train and test file path
[2026-07-27 01:02:12,709] 19 root - INFO - Data Initiation completed
[2026-07-27 01:02:12,715] 22 root - INFO - Initiate the data validation
[2026-07-27 01:02:12,744] 32 root - INFO - Required number of columns : 2
[2026-07-27 01:02:12,744] 33 root - INFO - Data frame has columns : 31
[2026-07-27 01:02:12,744] 32 root - INFO - Required number of columns : 2
[2026-07-27 01:02:12,745] 33 root - INFO - Data frame has columns : 31
[2026-07-27 01:02:12,745] 43 root - INFO - Required number of numerical columns : 31
[2026-07-27 01:02:12,746] 44 root - INFO - Data frame has numerical columns : 31
[2026-07-27 01:02:12,746] 43 root - INFO - Required number of numerical columns : 31
[2026-07-27 01:02:12,746] 44 root - INFO - Data frame has numerical columns : 31
[2026-07-27 01:02:12,865] 24 root - INFO - Data validation completed
[2026-07-27 01:02:12,865] 25 root - INFO - Data transformation started
[2026-07-27 01:02:12,865] 51 root - INFO - Initiated Data Transformation
[2026-07-27 01:02:12,892] 40 root - INFO - Entered get_data_transform_obj method
